date,total,d1,d3,d7,d14,d30,d60,d90,never
2025-07-09,1,0,0,0,0,0,0,0,1
2025-07-12,1,0,0,0,1,1,1,1,0
2025-07-13,23,0,0,0,8,8,8,10,11
2025-07-14,18,0,0,0,8,8,10,10,4
2025-07-17,1,0,0,0,0,0,0,0,1
2025-07-22,11,0,0,0,0,0,0,0,6
2025-07-23,2,0,0,0,0,0,0,0,2
2025-07-25,2,0,2,2,2,2,2,2,0
2025-07-26,2,0,1,1,1,1,1,1,1
2025-07-28,1,1,1,1,1,1,1,1,0
2025-07-29,1,0,0,0,0,0,0,0,1
2025-07-30,1,1,1,1,1,1,1,1,0
2025-07-31,21,0,0,0,0,3,3,3,14
2025-08-01,11,0,0,0,0,0,2,2,9
2025-08-02,1,0,0,0,0,0,0,0,1
2025-08-06,8,0,8,8,8,8,8,8,0
2025-08-11,2,0,0,0,0,2,2,2,0
2025-08-12,8,0,0,8,8,8,8,8,0
2025-08-13,2,0,2,2,2,2,2,2,0
2025-08-14,1,0,0,0,0,0,0,0,1
2025-08-16,1,0,0,0,0,0,0,0,1
2025-08-21,1,0,0,0,0,0,0,0,1
2025-08-23,5,0,0,0,0,0,0,0,3
2025-08-24,27,0,0,0,0,0,0,0,25
2025-08-25,9,0,8,8,8,8,8,8,1
2025-08-27,2,2,2,2,2,2,2,2,0
2025-09-01,1,0,0,0,0,0,0,0,1
2025-09-03,12,0,2,2,2,6,6,7,5
2025-09-04,8,0,0,0,0,0,0,0,8
2025-09-15,8,0,0,0,0,0,0,0,8
2025-09-16,10,2,2,2,2,2,2,4,6
2025-09-17,15,0,4,8,12,12,13,13,1
2025-10-13,32,0,0,0,8,8,10,10,22
2025-10-28,48,0,0,2,2,4,4,4,40
2025-11-18,31,0,0,2,4,6,8,8,23
2025-11-28,30,0,0,0,0,0,0,2,26
2025-12-11,35,2,2,4,6,10,10,10,25
2025-12-19,14,0,0,0,0,0,0,0,14
2026-01-06,28,0,0,2,6,6,6,6,22
2026-01-22,39,0,2,12,12,12,12,12,27
2026-02-09,45,0,2,2,2,4,6,6,39
2026-03-12,1,0,0,0,0,0,0,0,1
