date,total_member,new_register_n,delete_s,undeleted_e,mavs_total,hyvs_total,mavs_new,mavs_recall,mavs_churn,policy_valid,carrier_valid,has_invoice,has_carrier_invoice,policy_expired_today,policy_expiring_30d,policy_renewed_7d,active_30d,net_increase,mavs_delta,policy_rate,carrier_rate,invoice_rate,carrier_invoice_rate,mavs_rate,renew_success_rate
2025-10-01,5306452,1612,130,5150047,2444273,2630949,377,2443896,0,2858692,5190757,2832942,2747230,0,395413,164,2553564,1482,2444273,0.555081,1.81578,0.545767,0.969745,0.474612,
2025-10-02,5308156,1704,209,5151542,2455372,2634049,345,19977,9223,2862763,5190757,2833740,2748204,0,396254,253,2564479,1495,11099,0.55571,1.813198,0.54592,0.969815,0.476629,
2025-10-03,5309519,1363,149,5152756,2457653,2634143,330,11955,10004,2862494,5190757,2834718,2749334,0,391127,288,2567476,1214,2281,0.555527,1.813369,0.546109,0.969879,0.476959,
2025-10-04,5311374,1855,141,5154470,2460923,2634461,443,12193,9366,2862758,5190757,2835435,2750131,0,384341,619,2571607,1714,3270,0.555393,1.813201,0.546247,0.969915,0.477435,
2025-10-05,5313155,1781,138,5156113,2458215,2635216,419,10643,13770,2863916,5190757,2835851,2750536,0,381381,765,2567517,1643,-2708,0.555441,1.812468,0.546327,0.969916,0.476757,
2025-10-06,5315319,2164,150,5158127,2462053,2637281,519,13111,9792,2866851,5190757,2836078,2750844,0,379870,1214,2570379,2014,3838,0.555793,1.810613,0.546371,0.969947,0.477315,
2025-10-07,5316945,1626,113,5159640,2464709,2638895,392,12059,9795,2868695,5190757,2836608,2751522,0,379925,1210,2572297,1513,2656,0.555987,1.809449,0.546473,0.970004,0.47769,
2025-10-08,5319068,2123,143,5161620,2467838,2640745,512,12251,9634,2871497,5190757,2837304,2752172,0,381097,1308,2575397,1980,3129,0.556317,1.807683,0.546607,0.969995,0.478113,
2025-10-09,5321045,1977,112,5163485,2470043,2642210,417,10003,8215,2873452,5190757,2837600,2752503,0,381173,1180,2577443,1865,2205,0.556495,1.806453,0.546664,0.970011,0.478367,
2025-10-10,5323098,2053,131,5165407,2473059,2643353,408,10529,7921,2875175,5190757,2838390,2753282,0,380195,1215,2580635,1922,3016,0.556621,1.805371,0.546816,0.970015,0.478773,
2025-10-11,5325037,1939,95,5167251,2475812,2644853,451,10253,7951,2877185,5190757,2838945,2753869,0,380106,1050,2583062,1844,2753,0.556812,1.80411,0.546923,0.970033,0.479135,
2025-10-12,5327251,2214,123,5169342,2479422,2646285,515,10053,6958,2879629,5190757,2839069,2754090,0,381148,1030,2586572,2091,3610,0.557059,1.802578,0.546947,0.970068,0.47964,
2025-10-13,5328762,1511,87,5170766,2481170,2647315,326,9623,8201,2880829,5190757,2839480,2754559,0,383044,981,2588228,1424,1748,0.557138,1.801828,0.547026,0.970093,0.479846,
2025-10-14,5330108,1346,81,5172031,2483111,2648353,290,9189,7538,2882025,5190757,2839584,2754671,0,385862,962,2590070,1265,1941,0.557233,1.80108,0.547046,0.970097,0.480104,
2025-10-15,5331545,1437,101,5173367,2483802,2648780,281,8550,8140,2882734,5190757,2839642,2754777,0,390669,801,2591074,1336,691,0.557226,1.800637,0.547057,0.970114,0.480113,
2025-10-16,5332888,1343,80,5174630,2484313,2648783,253,7966,7708,2882817,5190757,2839409,2754487,0,393368,867,2592173,1263,511,0.557106,1.800585,0.547013,0.970092,0.480095,
2025-10-17,5334111,1223,70,5175783,2484316,2648753,255,8175,8427,2882797,5190757,2839395,2754534,0,395495,894,2592341,1153,3,0.556978,1.800597,0.54701,0.970113,0.479988,
2025-10-18,5335616,1505,81,5177207,2485711,2649386,307,8741,7653,2883637,5190757,2839802,2754960,0,397154,887,2593826,1424,1395,0.556987,1.800073,0.547088,0.970124,0.480126,
2025-10-19,5337299,1683,101,5178789,2487811,2650348,346,9742,7988,2885209,5190757,2839709,2754820,0,397894,998,2595589,1582,2100,0.55712,1.799092,0.54707,0.970106,0.480385,
2025-10-20,5338552,1253,80,5179962,2487594,2650703,226,8157,8600,2885914,5190757,2839197,2754365,0,410070,885,2595203,1173,-217,0.55713,1.798653,0.546972,0.970121,0.480234,
2025-10-21,5339722,1170,83,5181049,2488521,2651470,224,8524,7821,2887063,5190757,2838191,2753477,0,417886,930,2596128,1087,927,0.557235,1.797937,0.546778,0.970152,0.480312,
2025-10-22,5340824,1102,72,5182079,2487434,2651414,221,7555,8863,2887247,5190757,2836850,2752183,0,601765,836,2595230,1030,-1087,0.55716,1.797822,0.54652,0.970155,0.480007,
2025-10-23,5341946,1122,81,5183120,2486108,2651381,229,8353,9908,2887301,5190757,2835249,2750554,0,653563,1092,2593429,1041,-1326,0.557058,1.797789,0.546211,0.970128,0.479655,
2025-10-24,5343385,1439,81,5184478,2485339,2650876,297,8147,9213,2887003,5190757,2832686,2747979,0,669180,982,2593616,1358,-769,0.556855,1.797974,0.545717,0.970097,0.479381,
2025-10-25,5344943,1558,89,5185947,2485921,2650815,308,8700,8426,2887237,5190757,2829829,2745196,0,677276,1028,2594950,1469,582,0.556742,1.797829,0.545167,0.970093,0.479357,
2025-10-26,5346613,1670,125,5187492,2355384,2650563,322,9058,139917,2887482,5190757,2828600,2744007,0,684182,1090,2458603,1545,-130537,0.556624,1.797676,0.54493,0.970094,0.454051,
2025-10-27,5347927,1314,76,5188730,2313613,2649735,260,13285,55316,2886770,5190757,2827801,2743110,0,685895,1245,2416598,1238,-41771,0.556354,1.798119,0.544776,0.970051,0.445892,
2025-10-28,5349023,1096,105,5189721,2294225,2648326,227,13919,33534,2885286,5190757,2826844,2742170,0,684634,1255,2397805,991,-19388,0.555962,1.799044,0.544592,0.970046,0.442071,
2025-10-29,5350129,1106,82,5190745,2276506,2645314,218,13831,31768,2881064,5190757,2825868,2741192,0,677157,1437,2381845,1024,-17719,0.555039,1.801681,0.544404,0.970035,0.43857,
2025-10-30,5351118,989,62,5191672,2256910,2644857,203,14681,34480,2880412,5190757,2825222,2740389,0,685940,1755,2361598,927,-19596,0.554814,1.802088,0.544279,0.969973,0.434717,
2025-10-31,5352077,959,64,5192567,2245270,2644184,202,14802,26644,2879394,5190757,2824907,2739892,0,684083,1413,2349997,895,-11640,0.554522,1.802726,0.544219,0.969905,0.432401,
2025-11-01,5353399,1322,100,5193789,2237465,2644280,287,16392,24484,2879526,5190757,2827055,2740011,0,685283,1602,2341996,1222,-7805,0.554417,1.802643,0.544633,0.96921,0.430796,
2025-11-02,5354879,1480,101,5195168,2223257,2645111,335,18077,32620,2880755,5190757,2827781,2739678,0,688011,1747,2325207,1379,-14208,0.554507,1.801874,0.544772,0.968844,0.427947,
2025-11-03,5356372,1493,138,5196523,2228939,2646996,313,26760,21391,2883537,5190757,2827817,2739054,0,695489,1909,2331264,1355,5682,0.554897,1.800135,0.544779,0.968611,0.428929,
2025-11-04,5357576,1204,115,5197612,2225565,2648150,211,18486,22071,2885055,5190757,2827662,2738472,0,700325,1445,2327217,1089,-3374,0.555073,1.799188,0.544749,0.968458,0.42819,
2025-11-05,5358946,1370,94,5198888,2223961,2649188,317,17344,19265,2886502,5190757,2827342,2737900,0,704794,1406,2324882,1276,-1604,0.555215,1.798286,0.544688,0.968365,0.427776,
2025-11-06,5360203,1257,82,5200063,2216631,2649604,252,16653,24235,2887050,5190757,2827218,2737555,0,708301,1149,2317063,1175,-7330,0.555195,1.797945,0.544664,0.968286,0.42627,
2025-11-07,5361297,1094,75,5201082,2210716,2650094,217,16463,22595,2887505,5190757,2826832,2736987,0,714339,1099,2310773,1019,-5915,0.555174,1.797662,0.54459,0.968217,0.425049,
2025-11-08,5362613,1316,65,5202333,2205256,2651236,298,17505,23263,2888782,5190757,2826615,2736776,0,720642,1023,2303709,1251,-5460,0.555286,1.796867,0.544548,0.968217,0.423898,
2025-11-09,5364182,1569,83,5203819,2204651,2652469,351,18330,19286,2890433,5190757,2826406,2736585,0,725331,983,2302553,1486,-605,0.555445,1.795841,0.544507,0.968221,0.42366,
2025-11-10,5365323,1141,69,5204891,2201886,2653295,229,17146,20140,2891393,5190757,2825871,2736096,0,730365,918,2299119,1072,-2765,0.555515,1.795244,0.544404,0.968231,0.423042,
2025-11-11,5366389,1066,80,5205877,2199202,2654158,212,17077,19973,2892319,5190757,2825281,2735660,0,735554,925,2295663,986,-2684,0.555587,1.79467,0.544291,0.968279,0.422446,
2025-11-12,5367607,1218,84,5207011,2196254,2654779,252,16719,19919,2893120,5190757,2824510,2735077,0,740176,890,2292128,1134,-2948,0.55562,1.794173,0.544142,0.968337,0.421788,
2025-11-13,5368617,1010,63,5207958,2192490,2654799,214,15338,19316,2893179,5190757,2823727,2734422,0,744428,868,2287996,947,-3764,0.55553,1.794136,0.543991,0.968373,0.420988,
2025-11-14,5369553,936,67,5208827,2188284,2654628,210,15349,19765,2892788,5190757,2823434,2734203,0,745512,811,2283789,869,-4206,0.555363,1.794379,0.543935,0.968396,0.420111,
2025-11-15,5370771,1218,93,5209952,2185985,2655167,281,16940,19520,2893426,5190757,2823365,2734287,0,746133,924,2281059,1125,-2299,0.555365,1.793983,0.543922,0.96845,0.419579,
