date,total,carrier_d0,carrier_d7,policy_d0,inv_d7,inv_d30
2025-07-01,171987,641,1066,171437,601,701
2025-07-02,165295,5,950,165098,551,650
2025-07-03,185662,79,1526,185615,620,744
2025-07-04,152362,115,1385,151974,489,574
2025-07-05,169696,2,374,169653,582,674
2025-07-06,162289,246,1184,161257,588,680
2025-07-07,153396,322,972,153335,474,551
2025-07-08,153967,448,790,153904,487,577
2025-07-09,126449,2,2014,126219,407,458
2025-07-10,138185,198,2380,138125,440,505
2025-07-11,106481,114,591,105910,385,441
2025-07-12,142095,713,2106,141433,504,582
2025-07-13,159356,5,36,159287,550,629
2025-07-14,124078,415,983,123848,403,470
2025-07-15,158678,707,3614,158624,496,588
2025-07-16,158602,3,105360,158527,522,590
2025-07-17,129169,691,126471,128485,445,508
2025-07-18,135862,1408,134970,134487,454,517
2025-07-19,148109,5,146191,147405,518,615
2025-07-20,174126,5,172501,174073,580,671
2025-07-21,147381,293,145922,147179,511,573
2025-07-22,133791,0,132890,133742,476,540
2025-07-23,163273,79589,157285,162880,579,676
2025-07-24,175442,170840,173433,175264,591,671
2025-07-25,1748934,1711283,1725979,1748246,4622,5138
2025-07-26,898763,880527,887486,898754,2880,3304
2025-07-27,558125,546487,552751,557529,2018,2353
2025-07-28,470051,461743,466860,469847,1568,1796
2025-07-29,456399,450003,451718,456371,1560,1791
2025-07-30,360055,354270,356251,360006,1271,1475
2025-07-31,324170,316659,321368,324106,1145,1316
2025-08-01,301547,288891,291890,301334,1123,1319
2025-08-02,258945,254170,257191,258858,1028,1175
2025-08-03,261165,256620,258756,260769,1041,1216
2025-08-04,235007,230768,233277,234967,880,997
2025-08-05,217960,214608,216683,217913,807,910
2025-08-06,259066,255208,257088,258903,972,1108
2025-08-07,251585,243272,246010,251544,980,1121
2025-08-08,190047,186696,188174,189998,773,884
2025-08-09,210207,204952,207257,210164,863,994
2025-08-10,235536,228095,230887,235476,1002,1160
2025-08-11,169361,166938,168506,169158,667,773
2025-08-12,175883,172046,172779,175821,677,804
2025-08-13,165752,163392,163957,165687,613,698
