date,total_syncer,member_active,carrier_active,carrier_bound,policy_active,invoice_30d,invoice_180d
2025-07-01,4984013,4984013,1131277,2187250,2657255,2509078,2752825
2025-07-02,4987711,4987711,1132974,2189938,2660785,2516056,2757980
2025-07-03,4992256,4992256,1134607,2192540,2666840,2522053,2762642
2025-07-04,4995209,4995209,1136522,2195358,2668822,2525992,2765613
2025-07-05,4998186,4998186,1140085,2199686,2667957,2529503,2768407
2025-07-06,5001288,5001288,1141693,2202075,2670637,2531844,2771159
2025-07-07,5004110,5004110,1143458,2204609,2672743,2533711,2773495
2025-07-08,5006683,5006683,1144526,2206344,2675378,2535673,2775691
2025-07-09,5008981,5008981,1145676,2208169,2677991,2536963,2777441
2025-07-10,5011463,5011463,1146953,2210098,2680474,2538525,2779346
2025-07-11,5013822,5013822,1148383,2212243,2682515,2540258,2781230
2025-07-12,5016540,5016540,1149624,2214150,2685509,2542534,2783320
2025-07-13,5019335,5019335,1150857,2216104,2688648,2544737,2785468
2025-07-14,5021784,5021784,1152115,2218072,2691173,2546339,2787463
2025-07-15,5024458,5024458,1153295,2219972,2694189,2547794,2789353
2025-07-16,5027268,5027268,1154634,2222045,2697070,2549487,2791391
2025-07-17,5029744,5029744,1156225,2224311,2699179,2550920,2793166
2025-07-18,5033287,5033287,1158315,2227067,2702191,2553281,2795904
2025-07-19,5035990,5035990,1160260,2229597,2703985,2554681,2797555
2025-07-20,5038860,5038860,1162603,2232635,2706805,2555846,2799346
2025-07-21,5041550,5041550,1166797,2237567,2709037,2557105,2800738
2025-07-22,5044164,5044164,1218763,2289772,2709248,2558509,2801400
2025-07-23,5047809,5047809,3005334,4063914,2713319,2560478,2802569
2025-07-24,5051046,5051046,3675394,4730777,2691384,2562242,2804594
2025-07-25,5077447,5077447,3697230,4755912,2734126,2584397,2827289
2025-07-26,5093218,5093218,3704950,4771005,2754367,2597532,2840743
2025-07-27,5103345,5103345,3711462,4780586,2765628,2605285,2849288
2025-07-28,5111245,5111245,3716613,4788133,2773763,2611247,2856216
2025-07-29,5119555,5119555,3721125,4796094,2783180,2616774,2863452
2025-07-30,5126103,5126103,3724338,4802310,2790171,2619578,2869192
