名稱,發票存摺：統一發票雲端對獎＋電子發票載具歸戶＋發票回饋兌獎
開始日期,2017/9/24
結束日期,2026/3/18

日期,首次下載次數
2017/9/24,35.0
2017/9/25,3252.0
2017/9/26,3442.0
2017/9/27,2573.0
2017/9/28,2446.0
2017/9/29,2599.0
2017/9/30,2592.0
2017/10/1,3075.0
2017/10/2,2639.0
2017/10/3,1073.0
2017/10/4,1837.0
2017/10/5,1619.0
2017/10/6,1125.0
2017/10/7,932.0
2017/10/8,849.0
2017/10/9,746.0
2017/10/10,930.0
2017/10/11,565.0
2017/10/12,547.0
2017/10/13,447.0
2017/10/14,558.0
2017/10/15,572.0
2017/10/16,305.0
2017/10/17,322.0
2017/10/18,303.0
2017/10/19,289.0
2017/10/20,244.0
2017/10/21,279.0
2017/10/22,354.0
2017/10/23,317.0
2017/10/24,255.0
2017/10/25,290.0
2017/10/26,256.0
2017/10/27,247.0
2017/10/28,299.0
2017/10/29,336.0
2017/10/30,248.0
2017/10/31,222.0
2017/11/1,326.0
2017/11/2,325.0
2017/11/3,230.0
2017/11/4,259.0
2017/11/5,353.0
2017/11/6,239.0
2017/11/7,197.0
2017/11/8,192.0
2017/11/9,166.0
2017/11/10,182.0
2017/11/11,234.0
2017/11/12,257.0
2017/11/13,206.0
2017/11/14,159.0
2017/11/15,175.0
2017/11/16,147.0
2017/11/17,142.0
2017/11/18,206.0
2017/11/19,286.0
2017/11/20,206.0
2017/11/21,211.0
2017/11/22,224.0
2017/11/23,179.0
2017/11/24,219.0
2017/11/25,3683.0
2017/11/26,3537.0
2017/11/27,2821.0
2017/11/28,2211.0
2017/11/29,2094.0
2017/11/30,2068.0
2017/12/1,1636.0
2017/12/2,1327.0
2017/12/3,1313.0
2017/12/4,812.0
2017/12/5,659.0
2017/12/6,684.0
2017/12/7,544.0
2017/12/8,479.0
2017/12/9,554.0
2017/12/10,693.0
2017/12/11,553.0
2017/12/12,485.0
2017/12/13,454.0
2017/12/14,383.0
2017/12/15,390.0
2017/12/16,423.0
2017/12/17,459.0
2017/12/18,311.0
2017/12/19,253.0
2017/12/20,236.0
2017/12/21,220.0
2017/12/22,243.0
2017/12/23,309.0
2017/12/24,373.0
2017/12/25,244.0
2017/12/26,258.0
2017/12/27,244.0
2017/12/28,258.0
2017/12/29,254.0
2017/12/30,266.0
2017/12/31,228.0
2018/1/1,387.0
2018/1/2,360.0
2018/1/3,357.0
2018/1/4,373.0
2018/1/5,306.0
2018/1/6,404.0
2018/1/7,491.0
2018/1/8,291.0
2018/1/9,276.0
2018/1/10,240.0
2018/1/11,235.0
2018/1/12,214.0
2018/1/13,250.0
2018/1/14,337.0
2018/1/15,272.0
2018/1/16,247.0
2018/1/17,243.0
2018/1/18,266.0
2018/1/19,252.0
2018/1/20,321.0
2018/1/21,393.0
2018/1/22,293.0
2018/1/23,313.0
2018/1/24,337.0
2018/1/25,4524.0
2018/1/26,3818.0
2018/1/27,3489.0
2018/1/28,3383.0
2018/1/29,2604.0
2018/1/30,2341.0
2018/1/31,1978.0
2018/2/1,1993.0
2018/2/2,1699.0
2018/2/3,1809.0
2018/2/4,1988.0
2018/2/5,1712.0
2018/2/6,1576.0
2018/2/7,1571.0
2018/2/8,1071.0
2018/2/9,831.0
2018/2/10,971.0
2018/2/11,1077.0
2018/2/12,820.0
2018/2/13,815.0
2018/2/14,802.0
2018/2/15,733.0
2018/2/16,567.0
2018/2/17,511.0
2018/2/18,539.0
2018/2/19,590.0
2018/2/20,882.0
2018/2/21,753.0
2018/2/22,620.0
2018/2/23,330.0
2018/2/24,598.0
2018/2/25,801.0
2018/2/26,647.0
2018/2/27,610.0
2018/2/28,778.0
2018/3/1,653.0
2018/3/2,572.0
2018/3/3,667.0
2018/3/4,789.0
2018/3/5,630.0
2018/3/6,506.0
2018/3/7,567.0
2018/3/8,478.0
2018/3/9,751.0
2018/3/10,558.0
2018/3/11,592.0
2018/3/12,420.0
2018/3/13,604.0
2018/3/14,565.0
2018/3/15,463.0
2018/3/16,411.0
2018/3/17,455.0
2018/3/18,554.0
2018/3/19,434.0
2018/3/20,446.0
2018/3/21,465.0
2018/3/22,460.0
2018/3/23,466.0
2018/3/24,606.0
2018/3/25,6604.0
2018/3/26,4825.0
2018/3/27,3428.0
2018/3/28,2887.0
2018/3/29,2266.0
2018/3/30,2055.0
2018/3/31,1845.0
2018/4/1,2223.0
2018/4/2,1487.0
2018/4/3,1079.0
2018/4/4,1147.0
2018/4/5,1048.0
2018/4/6,987.0
2018/4/7,913.0
2018/4/8,1159.0
2018/4/9,841.0
2018/4/10,808.0
2018/4/11,693.0
2018/4/12,645.0
2018/4/13,492.0
2018/4/14,613.0
2018/4/15,830.0
2018/4/16,590.0
2018/4/17,524.0
2018/4/18,524.0
2018/4/19,556.0
2018/4/20,478.0
2018/4/21,536.0
2018/4/22,603.0
2018/4/23,501.0
2018/4/24,487.0
2018/4/25,476.0
2018/4/26,432.0
2018/4/27,462.0
2018/4/28,554.0
2018/4/29,701.0
2018/4/30,530.0
2018/5/1,662.0
2018/5/2,577.0
2018/5/3,561.0
2018/5/4,529.0
2018/5/5,628.0
2018/5/6,723.0
2018/5/7,557.0
2018/5/8,549.0
2018/5/9,561.0
2018/5/10,563.0
2018/5/11,499.0
2018/5/12,625.0
2018/5/13,653.0
2018/5/14,578.0
2018/5/15,497.0
2018/5/16,465.0
2018/5/17,523.0
2018/5/18,443.0
2018/5/19,532.0
2018/5/20,903.0
2018/5/21,616.0
2018/5/22,540.0
2018/5/23,513.0
2018/5/24,743.0
2018/5/25,5265.0
2018/5/26,4497.0
2018/5/27,4701.0
2018/5/28,3225.0
2018/5/29,2931.0
2018/5/30,2534.0
2018/5/31,2272.0
2018/6/1,1855.0
2018/6/2,1809.0
2018/6/3,1975.0
2018/6/4,1403.0
2018/6/5,1239.0
2018/6/6,1299.0
2018/6/7,1096.0
2018/6/8,926.0
2018/6/9,983.0
2018/6/10,1199.0
2018/6/11,990.0
2018/6/12,853.0
2018/6/13,888.0
2018/6/14,792.0
2018/6/15,640.0
2018/6/16,786.0
2018/6/17,735.0
2018/6/18,848.0
2018/6/19,616.0
2018/6/20,612.0
2018/6/21,595.0
2018/6/22,543.0
2018/6/23,601.0
2018/6/24,742.0
2018/6/25,592.0
2018/6/26,569.0
2018/6/27,588.0
2018/6/28,562.0
2018/6/29,568.0
2018/6/30,634.0
2018/7/1,793.0
2018/7/2,639.0
2018/7/3,692.0
2018/7/4,645.0
2018/7/5,628.0
2018/7/6,552.0
2018/7/7,578.0
2018/7/8,657.0
2018/7/9,500.0
2018/7/10,488.0
2018/7/11,541.0
2018/7/12,477.0
2018/7/13,409.0
2018/7/14,422.0
2018/7/15,491.0
2018/7/16,468.0
2018/7/17,437.0
2018/7/18,398.0
2018/7/19,429.0
2018/7/20,371.0
2018/7/21,574.0
2018/7/22,671.0
2018/7/23,512.0
2018/7/24,592.0
2018/7/25,7290.0
2018/7/26,5012.0
2018/7/27,3096.0
2018/7/28,2391.0
2018/7/29,2255.0
2018/7/30,1810.0
2018/7/31,1671.0
2018/8/1,1631.0
2018/8/2,1573.0
2018/8/3,1284.0
2018/8/4,2167.0
2018/8/5,2628.0
2018/8/6,2234.0
2018/8/7,2071.0
2018/8/8,1983.0
2018/8/9,1650.0
2018/8/10,1556.0
2018/8/11,1670.0
2018/8/12,2037.0
2018/8/13,1612.0
2018/8/14,1427.0
2018/8/15,1385.0
2018/8/16,1220.0
2018/8/17,1013.0
2018/8/18,1284.0
2018/8/19,1555.0
2018/8/20,1223.0
2018/8/21,1069.0
2018/8/22,1077.0
2018/8/23,933.0
2018/8/24,958.0
2018/8/25,1069.0
2018/8/26,1230.0
2018/8/27,1067.0
2018/8/28,1031.0
2018/8/29,966.0
2018/8/30,816.0
2018/8/31,819.0
2018/9/1,1015.0
2018/9/2,1242.0
2018/9/3,1127.0
2018/9/4,1007.0
2018/9/5,916.0
2018/9/6,887.0
2018/9/7,833.0
2018/9/8,906.0
2018/9/9,1216.0
2018/9/10,864.0
2018/9/11,821.0
2018/9/12,1743.0
2018/9/13,1109.0
2018/9/14,766.0
2018/9/15,895.0
2018/9/16,1173.0
2018/9/17,904.0
2018/9/18,825.0
2018/9/19,804.0
2018/9/20,728.0
2018/9/21,1111.0
2018/9/22,1109.0
2018/9/23,1054.0
2018/9/24,1484.0
2018/9/25,13124.0
2018/9/26,12248.0
2018/9/27,7538.0
2018/9/28,6216.0
2018/9/29,6290.0
2018/9/30,6249.0
2018/10/1,5852.0
2018/10/2,4386.0
2018/10/3,3765.0
2018/10/4,3285.0
2018/10/5,3247.0
2018/10/6,3589.0
2018/10/7,3736.0
2018/10/8,2900.0
2018/10/9,2482.0
2018/10/10,3089.0
2018/10/11,2150.0
2018/10/12,1901.0
