reg_month,total,active_30d,carrier_ok,n919,no_carrier,policy_ok,hyvs
2017-11,5171,1602,4189,8,974,1811,1742
2017-12,8055,2779,7765,5,285,3098,2977
2018-01,10705,3768,10483,12,210,4168,4018
2018-02,12734,4409,12546,10,178,4911,4712
2018-03,16694,6426,16476,8,210,7079,6866
2018-04,13191,5109,13020,7,164,5621,5439
2018-05,17101,6620,16859,13,229,7308,7033
2018-06,16490,6806,16298,12,180,7478,7227
2018-07,21249,8806,20980,10,259,9767,9444
2018-08,21733,9378,21455,18,260,10356,10024
2018-09,29476,12690,29088,21,367,13921,13485
2018-10,30312,13450,29962,17,333,14795,14322
2018-11,52292,23190,51461,34,797,25547,24642
2018-12,56533,24928,55493,30,1010,27393,26353
2019-01,69490,29634,68761,39,690,32673,31263
2019-02,50139,21932,49654,13,472,24164,23102
2019-03,62382,27456,61707,25,650,30143,28771
2019-04,42718,18743,42226,19,473,20579,19688
2019-05,54176,23911,53531,23,622,26301,25089
2019-06,46828,20376,46271,17,540,22514,21524
2019-07,64285,28021,63525,24,736,30889,29643
2019-08,72911,32005,72131,32,748,35135,33724
2019-09,71905,31831,71131,26,748,34858,33387
2019-10,63253,27870,62480,19,754,30706,29337
2019-11,79135,33717,77865,28,1242,37144,35319
2019-12,67051,29071,66325,35,691,32230,30545
2020-01,74823,32294,73996,41,786,35564,33690
2020-02,71466,31657,70746,27,693,34781,33180
2020-03,78808,35085,77913,28,867,38411,36599
2020-04,63033,28688,62382,31,620,31652,30026
2020-05,68396,31084,67526,24,846,34087,32492
2020-06,55006,25881,54307,28,671,28456,27184
2020-07,82378,38220,80781,32,1565,41780,40006
2020-08,65813,31016,65067,31,715,33812,32332
2020-09,64921,30355,63412,28,1481,33195,31847
2020-10,75031,35822,74245,34,752,39298,37465
2020-11,81262,37286,79420,44,1798,40881,38987
2020-12,73182,34487,72485,23,674,37654,35852
2021-01,81560,36441,80272,35,1253,39924,38067
2021-02,85182,37963,84190,21,971,41750,39607
2021-03,71194,31867,69765,30,1399,34912,33251
2021-04,64736,29588,63670,21,1045,32459,30805
2021-05,74918,33066,73952,31,935,36474,34431
2021-06,55532,23299,54935,18,579,25718,24111
2021-07,68082,28108,67282,22,778,31033,29071
2021-08,67173,30149,66552,23,598,33143,31205
2021-09,63453,28847,62761,24,668,31536,29808
2021-10,73080,34443,72537,26,517,37907,35717
2021-11,68334,32390,68056,31,247,35639,33650
2021-12,58784,28220,58541,29,214,30995,29206
2022-01,67875,32213,67565,30,280,35591,33511
2022-02,58870,28494,58603,25,242,31395,29487
2022-03,67467,32097,67192,34,241,35182,33147
2022-04,55415,26026,55218,21,176,28548,26781
2022-05,48211,22486,47981,27,203,24704,23149
2022-06,45189,21523,45016,18,155,23716,22224
2022-07,54979,26671,54762,47,170,29259,27533
2022-08,54083,27143,53852,40,191,29756,28092
2022-09,65991,33636,65657,55,279,36662,34666
2022-10,62372,32032,62180,38,154,35100,32872
2022-11,67869,34279,67585,45,239,37600,35226
2022-12,51583,26691,51232,43,308,29327,27466
2023-01,72126,36254,69776,47,2303,39943,37217
2023-02,58999,29599,57450,38,1511,32603,30340
2023-03,59405,28899,57140,44,2221,31917,29828
2023-04,53862,26975,51859,32,1971,29762,27587
2023-05,56866,27548,51955,31,4880,30437,28346
2023-06,48553,24594,46428,34,2091,27173,25267
2023-07,75585,36177,68877,51,6657,39947,37435
2023-08,61772,29335,54931,44,6797,32360,30129
2023-09,90508,30871,51639,29,38840,34253,31856
2023-10,64537,26819,43627,37,20873,29828,27399
2023-11,85670,31842,54232,40,31398,35375,32801
2023-12,55847,25034,41923,26,13898,27919,25638
2024-01,74243,33386,57147,24,17072,37125,34371
2024-02,53112,27346,45173,16,7923,30418,28133
2024-03,66704,30858,52367,35,14302,34394,31722
2024-04,42803,21481,36060,21,6722,23828,21910
2024-05,55209,26847,45548,18,9643,30219,27662
2024-06,44199,21903,37239,17,6943,24421,22314
2024-07,64913,32112,53782,26,11105,35735,32874
2024-08,51886,26631,44034,26,7826,29680,27377
2024-09,77922,38733,65063,51,12808,43450,40000
2024-10,60629,31382,53036,24,7569,35526,32620
2024-11,63904,31872,53245,20,10639,36199,33097
2024-12,36527,18721,30737,17,5773,21145,19301
2025-01,54629,28292,46361,15,8253,32063,29195
2025-02,38954,20648,33658,5,5291,23366,21254
2025-03,51189,26063,42606,20,8563,29666,26655
2025-04,33818,17559,28422,10,5386,20341,18139
2025-05,42801,20437,32254,17,10530,23855,21213
2025-06,29106,15142,23793,8,5305,17702,16011
2025-07,47298,24365,38297,1,9000,28196,25765
2025-08,41738,21933,34042,0,7696,24126,22377
2025-09,47466,25947,40402,0,7064,27403,25409
2025-10,47237,28204,43690,0,3547,35690,26513
2025-11,56841,35001,52312,0,4529,56520,37804
2025-12,38131,23737,35630,0,2501,38117,27021
2026-01,46700,30110,43683,0,3017,46648,34473
2026-02,30301,22148,30224,0,77,30263,24088
2026-03,30639,23638,30323,0,316,30428,24057
2026-04,11591,5883,11516,0,75,10005,6659
