reg_month,total,active_30d,carrier_ok,n919,no_carrier,policy_ok,hyvs
2017-11,4986,1414,2993,1875,799,1825,1876
2017-12,8020,2495,5459,3515,256,3125,3198
2018-01,10669,3440,7259,4812,188,4226,4319
2018-02,12693,3993,8761,5722,148,4924,5044
2018-03,16660,5826,11677,7518,186,7095,7290
2018-04,13155,4672,9237,5931,138,5663,5787
2018-05,17062,6000,12010,7596,204,7405,7516
2018-06,16454,6222,11821,7313,158,7536,7702
2018-07,21210,8055,15076,9395,232,9827,10015
2018-08,21690,8534,15630,9726,236,10424,10641
2018-09,29413,11363,21095,13190,327,14036,14309
2018-10,30257,12142,21989,13501,298,14908,15237
2018-11,52182,20866,37562,23420,728,25736,26205
2018-12,56388,22507,40199,25203,901,27595,28009
2019-01,69365,26578,50118,30777,609,32939,33335
2019-02,50062,19751,36706,21778,410,24307,24625
2019-03,62267,24546,45732,26993,563,30383,30772
2019-04,42606,16839,31368,18369,384,20774,21095
2019-05,54074,21473,39636,23372,544,26518,26841
2019-06,46737,18114,34150,20402,469,22657,22994
2019-07,64159,24763,46640,28158,636,31156,31647
2019-08,72749,28705,52885,31863,623,35404,35976
2019-09,71752,28299,53038,30457,625,35140,35569
2019-10,63113,24822,46726,26726,637,30912,31383
2019-11,78907,29765,58354,32864,1046,37484,37839
2019-12,66879,25992,50334,27543,558,32537,32838
2020-01,74600,28637,55846,30864,610,35947,36286
2020-02,71289,28066,53762,29467,544,35054,35574
2020-03,78599,30914,59480,32161,689,38819,39321
2020-04,62859,25516,47933,25515,483,31889,32131
2020-05,68205,27508,51819,27531,682,34360,34688
2020-06,54850,23132,42198,22009,547,28713,29056
2020-07,82056,33683,61488,34343,1281,42070,42656
2020-08,65635,27724,50477,26488,569,34183,34677
2020-09,64633,26836,48168,27019,1225,33505,34003
2020-10,74827,31843,57809,30059,588,39644,40133
2020-11,80908,32922,61173,32541,1498,41294,41823
2020-12,73032,30466,56662,28806,551,38021,38554
2021-01,81235,32069,61004,33264,969,40254,40878
2021-02,84965,33577,64218,34330,784,42116,42539
2021-03,70765,28061,53416,28555,1009,35301,35716
2021-04,64531,26170,49307,25453,868,32740,33055
2021-05,74670,29163,57104,29549,725,36794,37165
2021-06,55362,20692,42337,21271,430,25990,26101
2021-07,67819,24838,50500,27494,543,31360,31486
2021-08,66976,26857,51297,26364,428,33520,33670
2021-09,63245,25600,48344,25199,491,31819,32180
2021-10,72910,30615,56560,28807,376,38335,38555
2021-11,68258,28490,52446,27980,205,36064,36436
2021-12,58714,25064,45729,23529,176,31336,31703
2022-01,67791,28587,52725,27081,227,35937,36320
2022-02,58798,25309,46360,22817,202,31721,31973
2022-03,67396,28341,52248,26895,207,35550,35778
2022-04,55354,23136,43082,21624,140,28890,29015
2022-05,48134,19713,37429,18996,157,24954,25243
2022-06,45135,19199,35292,17603,125,23917,24154
2022-07,54875,23436,43049,21654,124,29452,29778
2022-08,53991,24076,43139,20640,148,30082,30371
2022-09,65840,29447,52520,25795,192,37099,37516
2022-10,62288,28514,50635,23184,112,35484,35721
2022-11,67749,30344,54432,25673,170,38033,38280
2022-12,51475,23833,41845,19026,248,29666,29944
2023-01,71381,32508,57475,25326,1614,40436,40506
2023-02,58537,26553,47419,20621,1092,32977,33229
2023-03,58795,25667,46950,20790,1661,32377,32617
2023-04,53306,24124,43162,18277,1452,30069,30255
2023-05,55126,24383,43119,18863,3179,30821,31025
2023-06,47985,22049,38941,16393,1567,27479,27736
2023-07,72387,32052,57237,24869,3544,40420,41078
2023-08,59282,26325,46548,18483,4475,32665,33011
2023-09,78272,26944,44668,17261,27038,34566,34571
2023-10,59918,23844,38638,13836,16481,30193,30103
2023-11,63916,28151,47913,17438,9878,35842,36154
2023-12,52011,22449,37709,12909,10116,28303,28279
2024-01,63714,29536,50846,17714,6931,37570,37818
2024-02,49847,24651,41252,13070,4701,30728,31132
2024-03,58695,27407,47218,16066,6571,34745,35067
2024-04,40099,19228,32924,10400,4115,24145,24337
2024-05,51048,23741,41390,13463,5794,30467,30825
2024-06,40567,19378,33675,10384,3960,24369,24657
2024-07,59682,28130,48892,15542,6555,35909,36382
2024-08,48473,23928,40892,12103,4586,29979,30516
2024-09,71329,33777,59599,19015,6774,43987,45089
2024-10,56914,27546,48522,15436,4391,35779,37131
2024-11,58358,27555,49441,15237,5427,36665,37793
2024-12,33578,16453,28882,8168,2910,21431,22197
2025-01,51226,24719,43890,11998,4949,32565,33584
2025-02,37090,18292,32034,8461,3455,23629,24270
2025-03,48033,22602,40746,11209,5470,30845,32168
2025-04,32065,15651,27357,6937,3670,20879,22642
2025-05,39999,17941,31277,8059,7805,24882,26787
2025-06,27282,13363,23132,5566,3618,17789,19756
2025-07,39721,21123,37440,8991,1843,27011,32253
2025-08,34911,19522,33602,6984,1203,22453,28889
2025-09,41442,22844,40138,7696,1110,34510,35811
2025-10,44149,24801,43472,6373,480,44122,38191
2025-11,52776,29258,51969,6170,588,52744,45987
2025-12,35861,21030,35465,3424,259,35855,31307
2026-01,43986,26728,43350,2800,405,43984,38392
2026-02,30228,21752,30083,1153,8,30225,26268
